Purpose,down,up
ローカル5G,28200000,29100000
携帯電話,29100000,29500000
電波天文,31300000,31800000
各種レーダー,33400000,36000000
公共・一般業務(移動),36000000,37500000
公共・一般業務(固定),37500000,38000000
無線アクセスシステム,38000000,38500000
公共・一般業務(固定),38500000,39000000
無線アクセスシステム,39000000,39500000
放送事業(移動),41000000,42000000
電波天文,42500000,43500000
公共業務(移動),43500000,45300000
アマチュア,47000000,47200000
電波天文,48940000,49040000
電波天文,50200000,50400000
簡易無線,50400000,51200000
電波天文,51400000,54250000
放送事業(移動),54250000,55780000
電通・公共・一般業務(固定・移動),55780000,59000000
小電力データ通信システム,57000000,68000000
レーダー(特定少電力),60000000,61000000
電波天文,64000000,65000000
電通・公共・一般業務(固定・移動),71000000,76000000
自動車レーダー(特定少電力),76000000,81000000
電波天文,76000000,77500000
アマチュア,77500000,78000000
電波天文,79000000,94000000
電通・公共・一般業務(固定・移動),81000000,86000000
電波天文,94100000,116000000
放送事業(移動),116000000,134000000
電波天文,130000000,134000000
アマチュア,134000000,136000000
電波天文,136000000,158500000
電波天文,164000000,167000000
電波天文,182000000,185000000
電波天文,200000000,231500000
電波天文,241000000,248000000
アマチュア,248000000,250000000
電波天文,250000000,275000000
標準電波,40,41
標準電波,60,61
空間伝送型ワイヤレス電力伝送システム,79,90
空間伝送型ワイヤレス電力伝送システム,425,471
空間伝送型ワイヤレス電力伝送システム,480,489
空間伝送型ワイヤレス電力伝送システム,491,494
空間伝送型ワイヤレス電力伝送システム,506,517
航空ビーコン,160,405
アマチュア,135.7,137.8
アマチュア,472,479
船舶無線通信・NAVTEX,405,472
船舶無線通信・NAVTEX,479,526.5
中波放送,526.5,1606.5
路側通信,1606.5,1632
漁業用ラジオブイ・船舶通信,1632,1800
アマチュア,1800,1875
漁業用ラジオブイ・船舶通信,1875,1907.5
アマチュア,1907.5,1921.5
漁業用ラジオブイ・船舶通信,1912.5,2000
船舶・航空通信,2000,3000
空間伝送型ワイヤレス電力伝送システム,6765,6795
ワイヤレスカードシステム,13410,13570
ラジオマイク(微弱型),26175,27500
市民ラジオ・ラジコン,26175,27500
航空通信,3000,3155
